Geography,Geographic area,Geographic area,Total population
Alabama,Alabama,Alabama,4779736(r38235)
Alabama,"Alabama - Abbeville CCD, Henry County","Abbeville CCD, Henry County",4872
Alabama,"Alabama - Abernant CCD, Tuscaloosa County","Abernant CCD, Tuscaloosa County",9955
Alabama,"Alabama - Addison CCD, Winston County","Addison CCD, Winston County",7884
Alabama,"Alabama - Alabaster-Helena CCD, Shelby County","Alabaster-Helena CCD, Shelby County",118831
Alabama,"Alabama - Alberta CCD, Wilcox County","Alberta CCD, Wilcox County",1308
Alabama,"Alabama - Albertville-Boaz CCD, Marshall County","Albertville-Boaz CCD, Marshall County",37950
Alabama,"Alabama - Alexander City CCD, Tallapoosa County","Alexander City CCD, Tallapoosa County",19342
Alabama,"Alabama - Alexandria-Webster Chapel CCD, Calhoun County","Alexandria-Webster Chapel CCD, Calhoun County",11730
Alabama,"Alabama - Aliceville CCD, Pickens County","Aliceville CCD, Pickens County",5384
Alabama,"Alabama - Altoona CCD, Etowah County","Altoona CCD, Etowah County",5302
Alabama,"Alabama - Andalusia CCD, Covington County","Andalusia CCD, Covington County",18495
Alabama,"Alabama - Anniston CCD, Calhoun County","Anniston CCD, Calhoun County",68662
Alabama,"Alabama - Arab CCD, Marshall County","Arab CCD, Marshall County",15490
Alabama,"Alabama - Ashland CCD, Clay County","Ashland CCD, Clay County",6128
Alabama,"Alabama - Ashville CCD, St. Clair County","Ashville CCD, St. Clair County",8449
Alabama,"Alabama - Athens CCD, Limestone County","Athens CCD, Limestone County",69761
Alabama,"Alabama - Atmore CCD, Escambia County","Atmore CCD, Escambia County",12372
Alabama,"Alabama - Auburn-Opelika CCD, Lee County","Auburn-Opelika CCD, Lee County",80779(r38041)
Alabama,"Alabama - Autaugaville CCD, Autauga County","Autaugaville CCD, Autauga County",3320
Alabama,"Alabama - Baileyton-Joppa CCD, Cullman County","Baileyton-Joppa CCD, Cullman County",5582
Alabama,"Alabama - Bakerhill CCD, Barbour County","Bakerhill CCD, Barbour County",3467
Alabama,"Alabama - Banks-Josie CCD, Pike County","Banks-Josie CCD, Pike County",2002
Alabama,"Alabama - Bay Minette CCD, Baldwin County","Bay Minette CCD, Baldwin County",23604
Alabama,"Alabama - Bayou La Batre CCD, Mobile County","Bayou La Batre CCD, Mobile County",10209
Alabama,"Alabama - Bear Creek CCD, Marion County","Bear Creek CCD, Marion County",5087
Alabama,"Alabama - Beatrice CCD, Monroe County","Beatrice CCD, Monroe County",1341
Alabama,"Alabama - Beauregard-Marvyn CCD, Lee County","Beauregard-Marvyn CCD, Lee County",10469(r38136)
Alabama,"Alabama - Bellwood-Coffee Springs CCD, Geneva County","Bellwood-Coffee Springs CCD, Geneva County",2323
Alabama,"Alabama - Belmont CCD, Sumter County","Belmont CCD, Sumter County",487
Alabama,"Alabama - Benton-Collirene CCD, Lowndes County","Benton-Collirene CCD, Lowndes County",2027
Alabama,"Alabama - Berry CCD, Fayette County","Berry CCD, Fayette County",3550
Alabama,"Alabama - Beulah CCD, Lee County","Beulah CCD, Lee County",6705
Alabama,"Alabama - Bexar CCD, Marion County","Bexar CCD, Marion County",1560
Alabama,"Alabama - Big Sandy-Duncanville CCD, Tuscaloosa County","Big Sandy-Duncanville CCD, Tuscaloosa County",9260
Alabama,"Alabama - Billingsley CCD, Autauga County","Billingsley CCD, Autauga County",2894
Alabama,"Alabama - Birmingham CCD, Jefferson County","Birmingham CCD, Jefferson County",455278(r38281)
Alabama,"Alabama - Blountsville CCD, Blount County","Blountsville CCD, Blount County",7330
Alabama,"Alabama - Boligee CCD, Greene County","Boligee CCD, Greene County",866
Alabama,"Alabama - Brantley CCD, Crenshaw County","Brantley CCD, Crenshaw County",3089
Alabama,"Alabama - Bremen CCD, Cullman County","Bremen CCD, Cullman County",8283
Alabama,"Alabama - Brewton CCD, Escambia County","Brewton CCD, Escambia County",10616
Alabama,"Alabama - Bridgeport CCD, Jackson County","Bridgeport CCD, Jackson County",3516
Alabama,"Alabama - Brilliant CCD, Marion County","Brilliant CCD, Marion County",2175
Alabama,"Alabama - Brookside CCD, Jefferson County","Brookside CCD, Jefferson County",4027
Alabama,"Alabama - Brooksville CCD, Blount County","Brooksville CCD, Blount County",4451
Alabama,"Alabama - Brookwood CCD, Tuscaloosa County","Brookwood CCD, Tuscaloosa County",4520
Alabama,"Alabama - Brundidge CCD, Pike County","Brundidge CCD, Pike County",3975
Alabama,"Alabama - Butler CCD, Choctaw County","Butler CCD, Choctaw County",4423
Alabama,"Alabama - Calera CCD, Shelby County","Calera CCD, Shelby County",8856
Alabama,"Alabama - Camden CCD, Wilcox County","Camden CCD, Wilcox County",4533
Alabama,"Alabama - Camp Hill CCD, Tallapoosa County","Camp Hill CCD, Tallapoosa County",1705
Alabama,"Alabama - Carbon Hill CCD, Walker County","Carbon Hill CCD, Walker County",3581
Alabama,"Alabama - Carlowville CCD, Dallas County","Carlowville CCD, Dallas County",717
Alabama,"Alabama - Carrollton CCD, Pickens County","Carrollton CCD, Pickens County",3840
Alabama,"Alabama - Castleberry CCD, Conecuh County","Castleberry CCD, Conecuh County",3251
Alabama,"Alabama - Cedar Bluff-Gaylesville CCD, Cherokee County","Cedar Bluff-Gaylesville CCD, Cherokee County",7204
Alabama,"Alabama - Centre CCD, Cherokee County","Centre CCD, Cherokee County",8252
Alabama,"Alabama - Centreville-Brent CCD, Bibb County","Centreville-Brent CCD, Bibb County",12937
Alabama,"Alabama - Chapman CCD, Butler County","Chapman CCD, Butler County",1774
Alabama,"Alabama - Chatom CCD, Washington County","Chatom CCD, Washington County",4321
Alabama,"Alabama - Chelsea CCD, Shelby County","Chelsea CCD, Shelby County",35970
Alabama,"Alabama - Cherokee CCD, Colbert County","Cherokee CCD, Colbert County",3942
Alabama,"Alabama - Childersburg CCD, Talladega County","Childersburg CCD, Talladega County",9064
Alabama,"Alabama - Choccolocco CCD, Calhoun County","Choccolocco CCD, Calhoun County",7348
Alabama,"Alabama - Citronelle CCD, Mobile County","Citronelle CCD, Mobile County",9534
Alabama,"Alabama - Clanton CCD, Chilton County","Clanton CCD, Chilton County",14329
Alabama,"Alabama - Clarence CCD, Blount County","Clarence CCD, Blount County",5269
Alabama,"Alabama - Clay CCD, Jefferson County","Clay CCD, Jefferson County",13695
Alabama,"Alabama - Clayton CCD, Barbour County","Clayton CCD, Barbour County",4264
Alabama,"Alabama - Cleveland CCD, Blount County","Cleveland CCD, Blount County",3789
Alabama,"Alabama - Clio CCD, Barbour County","Clio CCD, Barbour County",4303
Alabama,"Alabama - Cloverdale CCD, Lauderdale County","Cloverdale CCD, Lauderdale County",6563
Alabama,"Alabama - Coaling-Vance CCD, Tuscaloosa County","Coaling-Vance CCD, Tuscaloosa County",7678
Alabama,"Alabama - Coffeeville CCD, Clarke County","Coffeeville CCD, Clarke County",1329
Alabama,"Alabama - Coker CCD, Tuscaloosa County","Coker CCD, Tuscaloosa County",3721
Alabama,"Alabama - Collinsville CCD, DeKalb County","Collinsville CCD, DeKalb County",4498
Alabama,"Alabama - Columbia CCD, Houston County","Columbia CCD, Houston County",1402
Alabama,"Alabama - Columbiana CCD, Shelby County","Columbiana CCD, Shelby County",12123
Alabama,"Alabama - Concord-Rock Creek CCD, Jefferson County","Concord-Rock Creek CCD, Jefferson County",7667
Alabama,"Alabama - Cordova CCD, Walker County","Cordova CCD, Walker County",3456
Alabama,"Alabama - Cottonton-Seale CCD, Russell County","Cottonton-Seale CCD, Russell County",3990
Alabama,"Alabama - Cottonwood CCD, Houston County","Cottonwood CCD, Houston County",5683
Alabama,"Alabama - Coy-Fatama CCD, Wilcox County","Coy-Fatama CCD, Wilcox County",1059
Alabama,"Alabama - Crane Hill CCD, Cullman County","Crane Hill CCD, Cullman County",2257
Alabama,"Alabama - Crawford CCD, Russell County","Crawford CCD, Russell County",3727
Alabama,"Alabama - Crossville CCD, DeKalb County","Crossville CCD, DeKalb County",8628
Alabama,"Alabama - Cuba CCD, Sumter County","Cuba CCD, Sumter County",1215
Alabama,"Alabama - Cullman CCD, Cullman County","Cullman CCD, Cullman County",25264
Alabama,"Alabama - Dadeville CCD, Tallapoosa County","Dadeville CCD, Tallapoosa County",11896
Alabama,"Alabama - Daleville CCD, Dale County","Daleville CCD, Dale County",11976
Alabama,"Alabama - Danville CCD, Morgan County","Danville CCD, Morgan County",6530
Alabama,"Alabama - Daphne CCD, Baldwin County","Daphne CCD, Baldwin County",41295
Alabama,"Alabama - Deatsville CCD, Elmore County","Deatsville CCD, Elmore County",10104
Alabama,"Alabama - Decatur CCD, Morgan County","Decatur CCD, Morgan County",61269
Alabama,"Alabama - Demopolis CCD, Marengo County","Demopolis CCD, Marengo County",9554
Alabama,"Alabama - Dixons Mill CCD, Marengo County","Dixons Mill CCD, Marengo County",2473
Alabama,"Alabama - Dora CCD, Walker County","Dora CCD, Walker County",7794
Alabama,"Alabama - Dothan CCD, Houston County","Dothan CCD, Houston County",84863
Alabama,"Alabama - Double Springs CCD, Winston County","Double Springs CCD, Winston County",5415
Alabama,"Alabama - Douglas CCD, Marshall County","Douglas CCD, Marshall County",6028
Alabama,"Alabama - East Escambia CCD, Escambia County","East Escambia CCD, Escambia County",5955
Alabama,"Alabama - Echo CCD, Dale County","Echo CCD, Dale County",2067
Alabama,"Alabama - Eclectic CCD, Elmore County","Eclectic CCD, Elmore County",7159
Alabama,"Alabama - Elba CCD, Coffee County","Elba CCD, Coffee County",6710
Alabama,"Alabama - Elberta CCD, Baldwin County","Elberta CCD, Baldwin County",10957
Alabama,"Alabama - Elmore CCD, Elmore County","Elmore CCD, Elmore County",26447
Alabama,"Alabama - Elrod-Moores Bridge-Echola CCD, Tuscaloosa County","Elrod-Moores Bridge-Echola CCD, Tuscaloosa County",1545
Alabama,"Alabama - Empire CCD, Walker County","Empire CCD, Walker County",2493
Alabama,"Alabama - Enterprise CCD, Coffee County","Enterprise CCD, Coffee County",35493
Alabama,"Alabama - Ethelsville CCD, Pickens County","Ethelsville CCD, Pickens County",2029
Alabama,"Alabama - Eufaula CCD, Barbour County","Eufaula CCD, Barbour County",13785
Alabama,"Alabama - Eutaw CCD, Greene County","Eutaw CCD, Greene County",4410
Alabama,"Alabama - Eva CCD, Morgan County","Eva CCD, Morgan County",5655
Alabama,"Alabama - Evergreen CCD, Conecuh County","Evergreen CCD, Conecuh County",5762
Alabama,"Alabama - Fairhope CCD, Baldwin County","Fairhope CCD, Baldwin County",25894
Alabama,"Alabama - Falco CCD, Covington County","Falco CCD, Covington County",1846
Alabama,"Alabama - Falkville CCD, Morgan County","Falkville CCD, Morgan County",5687
Alabama,"Alabama - Faunsdale CCD, Marengo County","Faunsdale CCD, Marengo County",782
Alabama,"Alabama - Fayette CCD, Fayette County","Fayette CCD, Fayette County",8553
Alabama,"Alabama - Fitzpatrick CCD, Bullock County","Fitzpatrick CCD, Bullock County",750
Alabama,"Alabama - Five Points CCD, Chambers County","Five Points CCD, Chambers County",2537
Alabama,"Alabama - Flomaton CCD, Escambia County","Flomaton CCD, Escambia County",3632
Alabama,"Alabama - Florala CCD, Covington County","Florala CCD, Covington County",3684
Alabama,"Alabama - Florence CCD, Lauderdale County","Florence CCD, Lauderdale County",50499
Alabama,"Alabama - Foley CCD, Baldwin County","Foley CCD, Baldwin County",48089
Alabama,"Alabama - Folsom CCD, Randolph County","Folsom CCD, Randolph County",3615
Alabama,"Alabama - Forest Home CCD, Butler County","Forest Home CCD, Butler County",1469
Alabama,"Alabama - Forkland-Tishabee CCD, Greene County","Forkland-Tishabee CCD, Greene County",1955
Alabama,"Alabama - Fort Davis CCD, Macon County","Fort Davis CCD, Macon County",726
Alabama,"Alabama - Fort Deposit CCD, Lowndes County","Fort Deposit CCD, Lowndes County",2886
Alabama,"Alabama - Fort Payne CCD, DeKalb County","Fort Payne CCD, DeKalb County",19055
Alabama,"Alabama - Fort Rucker CCD, Dale County","Fort Rucker CCD, Dale County",4642
Alabama,"Alabama - Fosters CCD, Tuscaloosa County","Fosters CCD, Tuscaloosa County",3043
Alabama,"Alabama - Frisco City CCD, Monroe County","Frisco City CCD, Monroe County",6681
Alabama,"Alabama - Fruitdale CCD, Washington County","Fruitdale CCD, Washington County",2543
Alabama,"Alabama - Fruithurst CCD, Cleburne County","Fruithurst CCD, Cleburne County",2684
Alabama,"Alabama - Fulton CCD, Clarke County","Fulton CCD, Clarke County",1760
Alabama,"Alabama - Fyffe CCD, DeKalb County","Fyffe CCD, DeKalb County",5373
Alabama,"Alabama - Gadsden CCD, Etowah County","Gadsden CCD, Etowah County",72028
Alabama,"Alabama - Gainesville CCD, Sumter County","Gainesville CCD, Sumter County",923
Alabama,"Alabama - Gardendale CCD, Jefferson County","Gardendale CCD, Jefferson County",23184
Alabama,"Alabama - Geneva CCD, Geneva County","Geneva CCD, Geneva County",5412
Alabama,"Alabama - Georgiana-McKenzie CCD, Butler County","Georgiana-McKenzie CCD, Butler County",4341
Alabama,"Alabama - Geraldine CCD, DeKalb County","Geraldine CCD, DeKalb County",6393
Alabama,"Alabama - Gilbertown-Toxey CCD, Choctaw County","Gilbertown-Toxey CCD, Choctaw County",3879
Alabama,"Alabama - Goodman CCD, Coffee County","Goodman CCD, Coffee County",2286
Alabama,"Alabama - Goodwater-Kellyton CCD, Coosa County","Goodwater-Kellyton CCD, Coosa County",3956
Alabama,"Alabama - Gordo CCD, Pickens County","Gordo CCD, Pickens County",4837
Alabama,"Alabama - Gordon CCD, Houston County","Gordon CCD, Houston County",2305
Alabama,"Alabama - Goshen-Shady Grove CCD, Pike County","Goshen-Shady Grove CCD, Pike County",2431
Alabama,"Alabama - Grand Bay CCD, Mobile County","Grand Bay CCD, Mobile County",33789
Alabama,"Alabama - Grant CCD, Marshall County","Grant CCD, Marshall County",10201
Alabama,"Alabama - Graysville-Adamsville CCD, Jefferson County","Graysville-Adamsville CCD, Jefferson County",10762
Alabama,"Alabama - Greensboro CCD, Hale County","Greensboro CCD, Hale County",4450
Alabama,"Alabama - Greensboro Northeast CCD, Hale County","Greensboro Northeast CCD, Hale County",1590
Alabama,"Alabama - Greensboro South CCD, Hale County","Greensboro South CCD, Hale County",949
