MWRA,DW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost   ,Annual Electricity Generation (KWh),GHG (lbs)
FY 11,,,,,,234696.072,210891.3452
FY 12,74816,8029,0.107316617,,,1328687.376,1047480.072
FY 13,58379,3383,0.1161,16437,4646,1220222.04,917790.6634
FY 14,75612,3976,0.1161,-796,4053,1130027.832,849951.0414
FY 15,90488,4322,0.1639,-15672,3707,1124035.032,845443.5536
FY 16,47355,3592,0.1161,27461,4437,1228472.016,935223.8573
MWRA (JCWTP),DW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost   ,Annual Electricity Generation (KWh),GHG (lbs)
FY 11,,,,,,182866.952,164319.1434
FY 12,12870665,500513,0.1427,,,625483.64,493104.4427
FY 13,11426988,424551,0.1387,1443677,75962,634671.288,477368.3505
FY 14,12508419,507125,0.1572,362246,-6612,570327.48,428972.1207
FY 15,11710308,491464,0.1924,1160357,9049,520210.864,391276.881
FY 16,8979324,397161,0.1861,3891341,103352,577634.176,439747.3082
JCWTP Warehouse,DW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost   ,Annual Electricity Generation (KWh),GHG (lbs)
FY 12,41000,5221,0.127341463,,,,
FY 13,42000,2959,0.070452381,-1000,2262,,
FY 14,41600,3113,0.074831731,-600,2108,,
FY 15,44200,3728,0.084343891,-3200,1493,,
FY 16,35600,3140,0.088202247,5400,2081,,
Chelmsford Water District,DW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost   ,Annual Electricity Generation (KWh),GHG (lbs)
FY 11,,,,,,247275.488,222194.8576
FY 12,523200,,,,,576843.816,454758.8941
FY 13,1109910.464,,0.120364273,,0,586710.464,441294.5909
FY 14,1261047.52,,0.136149143,-151137.056,0,543047.52,408453.4841
FY 15,1279335.336,,0.169264071,-169424.872,0,526191.336,395775.0963
FY 16,1079382.064,,0.155314624,30528.4,0,597066.064,454540.6165
