Facility,Type,FY,UsageKWh,UsageUSD,USDperKWh,SavingsKWh,SavingsUSD,ElectricityGenerationKWh,GHGlbs
"MWRA","Additional DW","12","74816","8029","0.107316617",,,"1328687.376","1047480.072"
"MWRA","Additional DW","13","58379","3383","0.1161","16437","4646","1220222.04","917790.6634"
"MWRA","Additional DW","14","75612","3976","0.1161","-796","4053","1130027.832","849951.0414"
"MWRA","Additional DW","15","90488","4322","0.1639","-15672","3707","1124035.032","845443.5536"
"MWRA","Additional DW","16","47355","3592","0.1161","27461","4437","1228472.016","935223.8573"
"MWRA (JCWTP)","Additional DW","12","12870665","500513","0.1427",,,"625483.64","493104.4427"
"MWRA (JCWTP)","Additional DW","13","11426988","424551","0.1387","1443677","75962","634671.288","477368.3505"
"MWRA (JCWTP)","Additional DW","14","12508419","507125","0.1572","362246","-6612","570327.48","428972.1207"
"MWRA (JCWTP)","Additional DW","15","11710308","491464","0.1924","1160357","9049","520210.864","391276.881"
"MWRA (JCWTP)","Additional DW","16","8979324","397161","0.1861","3891341","103352","577634.176","439747.3082"
"Chelmsford Water District","Additional DW","12","523200",,,,,"576843.816","454758.8941"
"Chelmsford Water District","Additional DW","13","1109910.464",,"0.120364273",,"0,586710.464","441294.5909"
"Chelmsford Water District","Additional DW","14","1261047.52",,"0.136149143","-151137.056","0","543047.52","408453.4841"
"Chelmsford Water District","Additional DW","15","1279335.336",,"0.169264071","-169424.872","0","526191.336","395775.0963"
"Chelmsford Water District","Additional DW","16","1079382.064",,"0.155314624","30528.4","0","597066.064","454540.6165"
"Ashland","DW","07","1264176","121372",,,,,
"Ashland","DW","08","1137815","145451",,"1126361","-24079",,
"Ashland","DW","09","1147821","161795",,"1116355","-40423",,
"Ashland","DW","10","1168454","167899",,"1095722","-46527",,
"Ashland","DW","11","1159179","160095",,"1104997","-38723","23383.103","21011.404"
"Ashland","DW","12","1329096","292135","0.220","-64920","-7099","29044.367","22897.332"
"Ashland","DW","13","1314264","288875","0.220","-50088","4177","27067.257","20358.652"
"Ashland","DW","14","1278888","281100","0.220","-14712","17971","25709.904","19337.718"
"Ashland","DW","15","1196736","263043","0.220","67440","31357","25313.185","19039.326"
"Ashland","DW","16","1042176","229070","0.220","222000","34741","28580.881","21758.348"
"Easton","DW","07","1171842","144247","0.123",,,38427.095,"34529.516"
"Easton","DW","12","1115320","159268","0.143","56522","73580","61594.406","48558.385"
"Easton","DW","13","1134218","161966","0.143","37624","-2530","60109.365","45211.291"
"Easton","DW","14","1153453","164713","0.143","18389","-13752","58020.289","43639.992"
"Easton","DW","15","1227346","175265","0.143","-55504","-22148","54514.9188","41003.425"
"Easton","DW","16","961544","137308","0.143","210298","-32772","59975.100","29987.550"
"Falmouth","DW","07","898472","144699","0.161",,,"18583.894","16698.969"
"Falmouth","DW","12","1046599","115894","0.111","-148127","28805","22149.216","17461.491"
"Falmouth","DW","13","999287","117086","0.117","-100815","27613","21075.447","15851.909"
"Falmouth","DW","14","1064835","148986","0.140","-166363","-4287","20236.041","15220.549"
"Falmouth","DW","15","1117452","126441","0.113","-218980","18258","16535.900","12437.486"
"Falmouth","DW","16","791477","101426","0.128","106995","43273","24180.000","18408.000"
"Lee","DW","07","205790","32003","0.156",,,,
"Lee","DW","08","240378","38044","0.158","-34588","-6041",,
"Lee","DW","09","239969","40718","0.170","-34179","-8715",,
"Lee","DW","10","223050","30224","0.136","-17260","1779",,
"Lee","DW","11","224993","32050","0.142","-19203",-47,"105948.00","95201.918"
"Lee","DW","12","171100","27795","0.162","34690","4208","55776.00","43971.403"
"Lee","DW","13","191480","28616","0.149","14310","3387","48626.18","36574.207"
"Lee","DW","14","176913","26855","0.152","28877","5148","319818.93","240551.976"
"Lee","DW","15","142646","21511","0.151","63144","10492","316852.42","238320.718"
"Lee","DW","16","102456","18918","0.185","103334","13085","329744.35","164872.17"
"New Bedford","DW","07","4461000","519880","0.1165",,,,
"New Bedford","DW","08","4916308","175256",,0,,,
"New Bedford","DW","09","4658429","190790",,"257879",,,
"New Bedford","DW","10","4648351","188847",,"267957",,,
"New Bedford","DW","11","4923450","218926",,"-7142",,,
"New Bedford","DW","12","4638060","522709","0.1127","278248","286530","114589.817","90337.691"
"New Bedford","DW","13","4751250","535466","0.1127","165058","258772","106994.33","80475.840"
"New Bedford","DW","14","4849950","546589","0.1127","66358","267640","108257.84","81426.196"
"New Bedford","DW","15","4902240","552482","0.1127","14068","330802","100605.55","75670.517"
"New Bedford","DW","16","4530540","510592","0.1127","385768","323612","109875.5256","83647.174"
"Townsend","DW","07","188360","33,977",0.180,,,,
"Townsend","DW","08","74366 ",,"0.2388",,,,
"Townsend","DW","09","98826 ",,"0.2388","-24460",,,
"Townsend","DW","10","87522 ",,"0.2388","-13156",,,
"Townsend","DW","11","52598 ",,"0.2388","21768",,,
"Townsend","DW","12","49187","66787","0.258","25179","-32810","48459.935","38203.732"
"Townsend","DW","13","50116","64432","0.257","24250","-30455","46421.209","34915.737"
"Townsend","DW","14","62628","67858","0.212","11738","-33881","37336.207","28082.448"
"Townsend","DW","15","67928","93017","0.245","6438","-59040","40529.406","30484.214"
"Townsend","DW","16","63918","58746","0.222","10448","-24769","46081.460","35081.370"
"Worcester","DW","07","2526000","254155","0.101",,,,
"Worcester","DW","08","1623600","267521","0.120","902400",,,
"Worcester","DW","09","2376000","289693","0.123","150000",,,
"Worcester","DW","10","2685600","324924","0.119","-159600",,,
"Worcester","DW","11","2682000","282563","0.100","-156000",,,
"Worcester","DW","12","2769038","280097.73","0.101","-243038","-25943","109725.088","86502.548"
"Worcester","DW","13","2877283","303128.26","0.112","-351283","-48973","144447.671","108646.393"
"Worcester","DW","14","2989185","305381.31","0.112","-463185","-51226","139249.941","104736.918"
"Worcester","DW","15","3201053","352082.24","0.112","-675053","-97927","134562.935","101211.584"
"Worcester","DW","16","2864019","303456.74","0.112","-338019","-49302","149717.118","113978.193"
"MWRA (Delauri PS)","Additional WW","12","932040","112054","0.081",,,,
"MWRA (Delauri PS)","Additional WW","13","960360","113408","0.144","-28320","-1354","2482775","1867421"
"MWRA (Delauri PS)","Additional WW","14","921480","99738","0.175","10560","12316","2482775","1867421"
"MWRA (Delauri PS)","Additional WW","15","881880","95076","0.208","50160","16978","2482775","1867421"
