MWRA (Delauri PS),WW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,,,,,
FY 12,"932040","112054",0.081,,,,,,,,,,,
FY 13,"960360","113408",0.144,"-28320","-1354","2482775","1867421",,,,,,,
FY 14,"921480","99738",0.175,"10560","12316","2482775","1867421",,,,,,,
FY 15,"881880","95076",0.208,"50160","16978","2482775","1867421",,,,,,,
FY 16,"753600","91572",0.203,"178440","20482","2482775","1890113",,,,,,,
Newburyport,WW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,,,,,
FY 12,"2036000","273563",0.134,,,4859.754,3831.22137,,,,,,,
FY 13,"1604400","180830",0.113,"431600","92733",34297.829,25797.13052,,,,,,,
FY 14,"1683200","213664",0.127,"352800","59899",33029.91,24843.46456,,,,,,,
FY 15,"1978000","243782",0.123,"58000","29781",32032.625,24093.35612,,,,,,,
FY 16,"1552000","235669",0.152,"484000","37894",33852.06,25771.24568,,,,,,,
FAIRHAVEN,WW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,,,,,
FY 11,,,,,,39706.652,"35679.2902",,,,,,,
FY 12,"57880","9086",0.157,,,136944.323,"107961.0237",,,,,,,
FY 13,"56889","8805",0.155,991,991,127828.888,"96146.5668",,,,,,,
FY 14,"59182","7394",0.125,"-1302","-1302",126328.9222,"95018.3668",,,,,,,
FY 15,"66018","4486",0.068,"-8138","-8138",119862.5378,"90154.6722",,,,,,,
FY 16,"52153","4038",0.077,"5727","5727",131944.112,"100447.7756",,,,,,,
MWRA (DeerIsland),WW_add
FY,Usage (KWh), Usage Cost ($),Rate,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,,,,,
FY 12,"932040","112054",0.095,,,,,,,,,,,
FY 13,"960360","113408",0.096,"-28320","-1354","36116020","27164684",,,,,,,
FY 14,"921480","99738",0.095,"10560","12316","2482775","1867421",,,,,,,
FY 15,"881880","95076",0.079,"50160","16978","2482775","1867421",,,,,,,
FY 16,"753600","91572",0.079,"178440","20482","2482775","1890113",,,,,,,
