Charles River Pollution Control District,WW
FY,Usage (KWh),Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY 07,"3153600","454280",0.144,,,,,,,
FY 08,"2493600","406968",0.163,"660000",47312,,,,,
FY 09,"2760000","399776",0.145,"393600",54504,,,,,
FY 10,"2457600","326962",0.133,"696000",127318,,,,,
FY 11,"2505900","323630",0.129,"647700",130650,"3844","3454.1112",,,
FY 12,"2639760","423154",0.1603,"513840",31126,"21289","16783.3334",,,
FY 13,"2438400","366492",0.1503,"715200",87788,"22686","17063.2871",,,
FY 14,"2482800","363234",0.1463,"670800",91046,"20083","15105.4392",,,
FY 15,"2969040","419525",0.1413,"184560",34755,"6874","5170.2828",,,
FY 16,"3106560","448277",0.1443,"47040",6003,"18868","14364.0258",,,
Barnstable,WW
FY,Usage (KWh),Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY 07,"2219950","329319",0.148,,,,,,,
FY 08,"2148628","335650",0.148,"71322","-6330",,,,,
FY 09,"2122797","337723",0.156,"97153","-8404",,,,,
FY 10,"1998239","330827",0.159,"221711","-1507",,,,,
FY 11,"969440","66699",0.166,"1250510","262620",,,,,
FY 12,"1010952","167818",0.166,"1208998","161501","729422.391","575045.291",,,
FY 13,"1063656","180822",0.170,"1156294","148498","1261988.679","949205.463",,,
FY 14,"1045968","185136",0.177,"1173982","144183","1269543.108","954887.531",,,
FY 15,"1003016","159480",0.159,"1216934","169840","1263645.036","950451.293",,,
FY 16,"1893362","304831",0.161,"326588","24488","1272833.064","968995.494",,,
Falmouth,WW
FY,Usage (KWh), Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY 07,"1486933","173283",0.155,,,,,,,
FY 12,"1443558","223751",0.155,"43375","-50468","1043884.050","822953.359",,,
FY 13,"1449124","236207",0.163,"37809","-62924","2091531.600","1573146.617",,,
FY 14,"1470023","248434",0.169,"16910","-75151","1892322.300","1423311.235",,,
FY 15,"1483404","225477",0.152,"3529","-52194","1933407.000","1454213.115",,,
FY 16,"1444790","228277",0.158,"42143","-54994","823502.850","626924.750",,,
Greater Lawrence Sanitary District,WW
FY,Usage (KWh), Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
FY 07,"20846,600","3024035",0.145,,,,,,,
FY 08,"19918,100","2915685",0.146,"928500","108350",,,,,
FY 09,"20046,500","2886447",0.144,"800100","137588",,,,,
FY 10,"20292,300","2668641",0.132,"554300","355394",,,,,
FY 11,"19043,200","2610055",0.137,"1803400","413980","122430.170","110012.336",,,
FY 12,"19139,448","2563475",0.134,"1707152","460560","528573.506","416704.655",,,
FY 13,"18200,280","2396714",0.132,"2646320","627321","517159.674","388981.927",,,
FY 14,"18952,688","2547330",0.134,"1893912","476705","491802.947","369909.851",,,
FY 15,"18648,234","2175983",0.117,"2198366","848052","453938.252","341429.900",,,
FY 16,"15231,141","2061686",0.135,"5615459","962349","515077.796","392123.742",,,
Pittsfield,WW
FY,Usage (KWh), Usage Cost ($),Cost/KWh,Annual Saving in usage (KWh),Annual saving in usage cost  $,Annual Electricity Generation (KWh),GHG (lbs),,,
